Country,Warnings,date,isHeatWave,isHeatWaveCat
Canada,"['Biomass burning plumes', 'Cold wave', 'Extra-tropical cyclone', 'Fog', 'Freezing rain', 'Frost', 'Hail', 'Haze/Smoke', 'Heat wave', 'High Seas/Rogue waves etc.', 'High UV radiation', 'Icing', 'Lightning', 'Pollen pollution/Polluted air', 'Rain/Wet Spell', 'Yes', 'Yes', 'Yes', '• For Hurricane Watches, Tropical Storm Watches, and Winder Storm Watches, the target lead times are 36 hours. • For Hurricane Warnings, Storm Surge Warnings, and Tropical Storm warnings, the target lead times are 24 hours. • For Arctic Outflow warnings, Blizzard warnings, Heat warnings, Snow Squall watches, Snowfall warnings, and Winter Storm warnings, the target lead times are 18 hours. • For Blowing Snow warnings, Extreme Cold warnings, Rainfall (synoptic) warnings, Weather warnings – Generic, Weather advisories – Generic, and Wind warnings the target lead times are 12 hours. • For Flash Freeze warnings, Fog advisories, Freezing Drizzle advisories, Freezing Rain warnings, Frost warnings, and Severe Thunderstorm watches, the target lead times are 6 hours. • For Snow Squall warnings - open water, and Tornado watches, the target lead times are 3 hours. • For Dust Storm warnings and Rainfall (convective) warnings the target lead times are 2 hours. • For Snow Squall warnings – frontal, the target lead time is 1 hour. • For Severe Thunderstorm warnings, the target lead time is 30 minutes. • For Tornado warnings, the target lead time is 10 minutes. • For Tsunami warnings, the target lead time is event dependent. • For environmental emergencies, the ISO response time to provide plume modelling is 90 minutes after the reception of the request form, 90 of the time.', 'Yes', 'Yes', 'Yes', 'Yes', 'No', '100,000']",09/27/2023,1,Yes
Central African Republic,"['Cold wave', 'Drought/Dry spell', 'Dust storm/Sandstorm', 'Flood', 'Fog', 'Haze/Smoke', 'Heat wave', 'High UV radiation', 'Landslide/Mudslide & Debris flow', 'Lightning', 'Pollen pollution/Polluted air', 'Rain/Wet Spell', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Wild land fire/Forest fire', 'No', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'No', 'Non évalué']",09/27/2023,1,Yes
Chad,"['Drought/Dry spell', 'Dust storm/Sandstorm', 'Flood', 'Haze/Smoke', 'Rain/Wet Spell', 'Thunderstorms/Squall lines', 'Wind', 'No', 'No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No', 'Environ 100 personnes']",09/26/2023,0,No
Chile,"['Cold wave', 'Drought/Dry spell', 'Fog', 'Frost', 'Hail', 'Haze/Smoke', 'Heat wave', 'High UV radiation', 'Icing', 'Rain/Wet Spell', 'Snow', 'Snowstorm', 'Thunderstorms/Squall lines', 'Tornado', 'Volcanic ash', 'Yes', 'No', 'Yes', '5 días', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'No']",09/26/2023,1,Yes
China,"['Avalanche', 'Cold wave', 'Drought/Dry spell', 'Dust storm/Sandstorm', 'Extra-tropical cyclone', 'Fog', 'Freezing rain', 'Frost', 'Hail', 'Haze/Smoke', 'Heat wave', 'High UV radiation', 'Landslide/Mudslide & Debris flow', 'Lightning', 'Pollen pollution/Polluted air', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', '92700']",09/29/2023,1,Yes
Colombia,"['Avalanche', 'Drought/Dry spell', 'Extra-tropical cyclone', 'Flood', 'Fog', 'Freezing rain', 'Frost', 'Hail', 'Haze/Smoke', 'Heat wave', 'High UV radiation', 'Icing', 'Lightning', 'Pollen pollution/Polluted air', 'Rain/Wet Spell', 'Yes', 'Yes', 'Yes', '6 horas', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'No', '75.000']",09/27/2023,1,Yes
Comoros,"['Extra-tropical cyclone', 'Rain/Wet Spell', 'Tropical cyclone', 'Tsunami', 'Wind', 'No', 'No', 'Yes', 'No', 'Yes', 'Yes', 'No', 'No', 'No', '50 000 personnes.']",09/27/2023,0,No
Congo,"['Fog', 'Thunderstorms/Squall lines', 'Wind', 'No', 'No', 'No', '5-HEURES', 'Yes', 'Yes', 'Yes', 'No', 'No', '10.0000']",09/29/2023,0,No
Cook Islands,[0],09/29/2023,2,Unknown
Costa Rica,"['Cold wave', 'Drought/Dry spell', 'Flood', 'Fog', 'Hail', 'Haze/Smoke', 'Heat wave', 'High UV radiation', 'Landslide/Mudslide & Debris flow', 'Lightning', 'Thunderstorms/Squall lines', 'Tornado', 'Tropical cyclone', 'Volcanic ash', 'Wild land fire/Forest fire', 'Yes', 'Yes', 'Yes', 'Depending on the influence and proximity of the event, it takes place every 24 hours and the time decreases to one hour.', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'The number of people dependent on the community and this is in charge of the National Emergency Commission.']",09/29/2023,1,Yes
Croatia,"['Cold wave', 'Drought/Dry spell', 'Flood', 'Fog', 'Freezing rain', 'Frost', 'Hail', 'Haze/Smoke', 'Heat wave', 'High Seas/Rogue waves etc.', 'High UV radiation', 'Icing', 'Lightning', 'Pollen pollution/Polluted air', 'Rain/Wet Spell', 'Yes', 'Yes', 'Yes', '2 days', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', '100']",09/26/2023,1,Yes
Cuba,[0],09/29/2023,2,Unknown
Curaçao and Sint Maarten,[0],09/26/2023,2,Unknown
Cyprus,"['Fog', 'Frost', 'Hail', 'Heat wave', 'High Seas/Rogue waves etc.', 'Icing', 'Rain/Wet Spell', 'Thunderstorms/Squall lines', 'Wind', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'No']",09/27/2023,1,Yes
Czech Republic,"['Cold wave', 'Flood', 'Fog', 'Freezing rain', 'Frost', 'Hail', 'Heat wave', 'Icing', 'Lightning', 'Rain/Wet Spell', 'Snow', 'Snowstorm', 'Thunderstorms/Squall lines', 'Wild land fire/Forest fire', 'Wind', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', '100000']",09/26/2023,1,Yes
Côte d'Ivoire,"['Drought/Dry spell', 'Dust storm/Sandstorm', 'Flood', 'Haze/Smoke', 'Heat wave', 'High Seas/Rogue waves etc.', 'Landslide/Mudslide & Debris flow', 'Lightning', 'Rain/Wet Spell', 'Space weather event', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Wild land fire/Forest fire', 'Wind', 'Yes', 'No', 'Yes', '2-JOURS', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']",09/27/2023,1,Yes
Democratic People's Republic of Korea,[0],09/26/2023,2,Unknown
